iter	Passed	Remaining
0	68344	68275986
1	136372	68049957
2	203330	67573500
3	270378	67324259
4	338732	67407681
5	404127	66950502
6	470991	66813461
7	539188	66859341
8	606494	66781822
9	673779	66704174
10	740931	66616480
11	808597	66574499
12	875651	66482144
13	943994	66484199
14	1009993	66322918115	1073089	65994975116	1140524	65949159117	1206452	65818678118	1272979	65725923119	1341215	65719575220	1406505	65569933221	1474322	65540335222	1539756	65406160223	1605683	65297792224	1672165	65214463225	1737730	65098050226	1803215	64982540227	1869771	64907767228	1935145	64794008229	2000104	64670034330	2066036	64580313331	2131054	64464394332	2196862	64374718333	2263889	64321095334	2330607	64258170335	2396013	64159925336	2461185	64057349337	2527908	63995988338	2594888	63940720339	2661272	63870539440	2726915	63783218441	2792683	63699790442	2860099	63653839443	2925370	63560314444	2992110	63499226445	3057405	63407932446	3123068	63325191447	3189811	63264599448	3255620	63185610449	3320161	63083073550	3387711	63037996551	3453147	62953543552	3520088	62896678553	3586393	62828303554	3652006	62748112555	3717551	62667294556	3783237	62589353557	3847432	62487605558	3913620	62418929559	3979796	62350143660	4046840	62294809
61	4113653	62235603
62	4179432	62160767
63	4244642	62077898
64	4309706	61993475
65	4375050	61913594
66	4440432	61834676
67	4505159	61747189
68	4571630	61683878
69	4636933	61604977
70	4704208	61552243
71	4769971	61479635
72	4834666	61393647
73	4900821	61326500
74	4966212	61249954
75	5031332	61170410
76	5098100	61110999
77	5162754	61026408
78	5228831	60958913
79	5295555	60898893
80	5361574	60830698
81	5426874	60754518
82	5491934	60675956
83	5558466	60613755
84	5624296	60543901
85	5689048	60462677
86	5753099	60374484
87	5818169	60297394
88	5884191	60230317
89	5948925	60150248
90	6013205	60065976
91	6078464	59991798
92	6143065	59911406
93	6209147	59845617
94	6277372	59800230
95	6347024	59767812
6	6310796	58748961
97	6317440	58146233
